Department,Active Cases,Deaths,Total
AMAZONAS,13927,16,13943
ANCASH,21785,417,22202
APURIMAC,4429,115,4544
AREQUIPA,40088,379,40467
AYACUCHO,10262,770,11032
CAJAMARCA,19016,193,19209
CALLAO,30655,1073,31728
CUSCO,19462,440,19902
HUANCAVELICA,6190,186,6376
HUANUCO,15246,379,15625
ICA,25836,814,26650
JUNIN,18456,604,19060
LA LIBERTAD,27554,389,27943
LAMBAYEQUE,25194,354,25548
LIMA,336150,24988,361138
LORETO,18152,110,18262
MADRE DE DIOS,7808,70,7878
MOQUEGUA,12925,47,12972
PASCO,4880,67,4947
PIURA,34258,139,34397
PUNO,13538,53,13591
SAN MARTIN,16962,102,17064
TACNA,11426,118,11544
TUMBES,6970,96,7066
UCAYALI,15823,19,15842
