Department,District,Active Cases,Deaths,Total
AMAZONAS,ARAMANGO,2952.0,0.0,2952.0
AMAZONAS,ASUNCION,3.0,0.0,3.0
AMAZONAS,BAGUA,1538.0,15.0,1553.0
AMAZONAS,BAGUA GRANDE,2481.0,0.0,2481.0
AMAZONAS,BALSAS,21.0,0.0,21.0
AMAZONAS,CAJARURO,214.0,0.0,214.0
AMAZONAS,CAMPORREDONDO,18.0,0.0,18.0
AMAZONAS,CHACHAPOYAS,1347.0,1.0,1348.0
AMAZONAS,CHETO,8.0,0.0,8.0
AMAZONAS,CHILIQUIN,1.0,0.0,1.0
AMAZONAS,CHIRIMOTO,4.0,0.0,4.0
AMAZONAS,CHISQUILLA,1.0,0.0,1.0
AMAZONAS,CHUQUIBAMBA,2.0,0.0,2.0
AMAZONAS,CHURUJA,12.0,0.0,12.0
AMAZONAS,COCABAMBA,1.0,0.0,1.0
AMAZONAS,COCHAMAL,4.0,0.0,4.0
AMAZONAS,COLCAMAR,4.0,0.0,4.0
AMAZONAS,CONILA,25.0,0.0,25.0
AMAZONAS,COPALLIN,67.0,0.0,67.0
AMAZONAS,COROSHA,1.0,0.0,1.0
AMAZONAS,CUISPES,5.0,0.0,5.0
AMAZONAS,CUMBA,27.0,0.0,27.0
AMAZONAS,EL CENEPA,569.0,0.0,569.0
AMAZONAS,EL MILAGRO,142.0,0.0,142.0
AMAZONAS,EL PARCO,63.0,0.0,63.0
AMAZONAS,EN INVESTIGACIÓN,73.0,0.0,73.0
AMAZONAS,FLORIDA,26.0,0.0,26.0
AMAZONAS,GRANADA,1.0,0.0,1.0
AMAZONAS,HUAMBO,8.0,0.0,8.0
AMAZONAS,HUANCAS,12.0,0.0,12.0
AMAZONAS,IMAZA,1249.0,0.0,1249.0
AMAZONAS,INGUILPATA,2.0,0.0,2.0
AMAZONAS,JAMALCA,59.0,0.0,59.0
AMAZONAS,JAZAN,177.0,0.0,177.0
AMAZONAS,JUMBILLA,10.0,0.0,10.0
AMAZONAS,LA JALCA,17.0,0.0,17.0
AMAZONAS,LA PECA,584.0,0.0,584.0
AMAZONAS,LAMUD,48.0,0.0,48.0
AMAZONAS,LEIMEBAMBA,15.0,0.0,15.0
AMAZONAS,LEVANTO,7.0,0.0,7.0
AMAZONAS,LIMABAMBA,1.0,0.0,1.0
AMAZONAS,LONGAR,3.0,0.0,3.0
AMAZONAS,LONGUITA,1.0,0.0,1.0
