Department,Active Cases,Deaths
AMAZONAS,17324,233
ANCASH,27374,1390
APURIMAC,6058,122
AREQUIPA,45262,1487
AYACUCHO,13754,339
CAJAMARCA,22857,540
CALLAO,38791,1867
CUSCO,23092,469
HUANCAVELICA,7435,130
HUANUCO,18153,435
ICA,30375,1695
JUNIN,24157,865
LA LIBERTAD,33815,2322
LAMBAYEQUE,29415,1798
LIMA,417066,15739
LORETO,23116,978
MADRE DE DIOS,8983,149
MOQUEGUA,14711,284
PASCO,5941,118
PIURA,39265,2053
PUNO,17692,352
SAN MARTIN,22513,746
TACNA,13489,247
TUMBES,8770,320
UCAYALI,18598,353
