Department,Date,Deaths
LIMA,2020-03-18,1
LIMA,2020-03-19,3
LIMA,2020-03-20,2
PIURA,2020-03-21,1
CALLAO,2020-03-22,1
LORETO,2020-03-22,1
LIMA,2020-03-23,1
CUSCO,2020-03-24,1
LA LIBERTAD,2020-03-24,1
LIMA,2020-03-24,2
LA LIBERTAD,2020-03-26,1
LAMBAYEQUE,2020-03-26,2
LIMA,2020-03-26,3
CUSCO,2020-03-27,2
LIMA,2020-03-27,6
ANCASH,2020-03-28,1
LIMA,2020-03-28,3
AREQUIPA,2020-03-29,1
CALLAO,2020-03-29,2
LAMBAYEQUE,2020-03-29,1
LIMA,2020-03-29,7
PIURA,2020-03-29,1
ICA,2020-03-30,1
JUNIN,2020-03-30,1
LAMBAYEQUE,2020-03-30,2
LIMA,2020-03-30,6
LORETO,2020-03-30,2
TUMBES,2020-03-30,1
AREQUIPA,2020-03-31,1
CALLAO,2020-03-31,2
LA LIBERTAD,2020-03-31,1
LAMBAYEQUE,2020-03-31,1
LIMA,2020-03-31,13
LORETO,2020-03-31,1
SAN MARTIN,2020-03-31,1
CALLAO,2020-04-01,3
ICA,2020-04-01,1
LAMBAYEQUE,2020-04-01,1
LIMA,2020-04-01,7
TUMBES,2020-04-01,1
CALLAO,2020-04-02,2
CUSCO,2020-04-02,1
ICA,2020-04-02,1
LA LIBERTAD,2020-04-02,1
LIMA,2020-04-02,8
PIURA,2020-04-02,1
TUMBES,2020-04-02,1
CALLAO,2020-04-03,1
ICA,2020-04-03,1
LAMBAYEQUE,2020-04-03,4
LIMA,2020-04-03,25
PIURA,2020-04-03,1
TUMBES,2020-04-03,1
AREQUIPA,2020-04-04,4
CALLAO,2020-04-04,2
HUANCAVELICA,2020-04-04,1
ICA,2020-04-04,1
JUNIN,2020-04-04,1
LA LIBERTAD,2020-04-04,1
LAMBAYEQUE,2020-04-04,5
LIMA,2020-04-04,25
PIURA,2020-04-04,4
UCAYALI,2020-04-04,1
ANCASH,2020-04-05,1
CALLAO,2020-04-05,2
HUANUCO,2020-04-05,1
LAMBAYEQUE,2020-04-05,3
LIMA,2020-04-05,7
LORETO,2020-04-05,1
SAN MARTIN,2020-04-05,1
CALLAO,2020-04-06,5
LA LIBERTAD,2020-04-06,2
LAMBAYEQUE,2020-04-06,4
LIMA,2020-04-06,16
PIURA,2020-04-06,1
TUMBES,2020-04-06,2
ANCASH,2020-04-07,3
CALLAO,2020-04-07,2
LAMBAYEQUE,2020-04-07,2
LIMA,2020-04-07,19
LORETO,2020-04-07,1
PIURA,2020-04-07,2
ANCASH,2020-04-08,2
CALLAO,2020-04-08,1
LA LIBERTAD,2020-04-08,1
LAMBAYEQUE,2020-04-08,10
LIMA,2020-04-08,40
LORETO,2020-04-08,1
PIURA,2020-04-08,2
CALLAO,2020-04-09,3
ICA,2020-04-09,2
LAMBAYEQUE,2020-04-09,10
LIMA,2020-04-09,31
LORETO,2020-04-09,2
PIURA,2020-04-09,1
TUMBES,2020-04-09,2
CALLAO,2020-04-10,4
ICA,2020-04-10,1
LAMBAYEQUE,2020-04-10,15
LIMA,2020-04-10,24
LORETO,2020-04-10,2
PIURA,2020-04-10,6
UCAYALI,2020-04-10,1
CALLAO,2020-04-11,3
ICA,2020-04-11,2
LAMBAYEQUE,2020-04-11,8
LIMA,2020-04-11,27
LORETO,2020-04-11,1
PIURA,2020-04-11,3
TUMBES,2020-04-11,1
ANCASH,2020-04-12,2
AREQUIPA,2020-04-12,1
CALLAO,2020-04-12,4
ICA,2020-04-12,1
LA LIBERTAD,2020-04-12,3
LAMBAYEQUE,2020-04-12,8
LIMA,2020-04-12,40
LORETO,2020-04-12,3
PIURA,2020-04-12,4
TUMBES,2020-04-12,1
ANCASH,2020-04-13,3
AREQUIPA,2020-04-13,2
CAJAMARCA,2020-04-13,2
CALLAO,2020-04-13,5
ICA,2020-04-13,3
JUNIN,2020-04-13,1
LA LIBERTAD,2020-04-13,1
LAMBAYEQUE,2020-04-13,5
LIMA,2020-04-13,36
PIURA,2020-04-13,6
TUMBES,2020-04-13,2
ANCASH,2020-04-14,3
CALLAO,2020-04-14,6
ICA,2020-04-14,2
JUNIN,2020-04-14,2
LA LIBERTAD,2020-04-14,3
LAMBAYEQUE,2020-04-14,11
LIMA,2020-04-14,49
LORETO,2020-04-14,5
PIURA,2020-04-14,6
ANCASH,2020-04-15,3
AREQUIPA,2020-04-15,1
CALLAO,2020-04-15,3
ICA,2020-04-15,1
LA LIBERTAD,2020-04-15,3
LAMBAYEQUE,2020-04-15,14
LIMA,2020-04-15,56
LORETO,2020-04-15,3
PIURA,2020-04-15,6
UCAYALI,2020-04-15,2
ANCASH,2020-04-16,3
AREQUIPA,2020-04-16,1
CAJAMARCA,2020-04-16,1
CALLAO,2020-04-16,8
ICA,2020-04-16,1
LAMBAYEQUE,2020-04-16,13
LIMA,2020-04-16,62
LORETO,2020-04-16,2
PIURA,2020-04-16,7
UCAYALI,2020-04-16,1
ANCASH,2020-04-17,1
CALLAO,2020-04-17,6
ICA,2020-04-17,2
LA LIBERTAD,2020-04-17,1
LAMBAYEQUE,2020-04-17,19
LIMA,2020-04-17,57
LORETO,2020-04-17,4
PASCO,2020-04-17,1
PIURA,2020-04-17,6
TUMBES,2020-04-17,1
ANCASH,2020-04-18,5
CALLAO,2020-04-18,8
ICA,2020-04-18,1
JUNIN,2020-04-18,2
LA LIBERTAD,2020-04-18,1
LAMBAYEQUE,2020-04-18,15
LIMA,2020-04-18,59
LORETO,2020-04-18,5
PIURA,2020-04-18,6
TUMBES,2020-04-18,1
UCAYALI,2020-04-18,2
ANCASH,2020-04-19,8
AREQUIPA,2020-04-19,3
CALLAO,2020-04-19,3
ICA,2020-04-19,2
JUNIN,2020-04-19,1
LA LIBERTAD,2020-04-19,3
LAMBAYEQUE,2020-04-19,8
LIMA,2020-04-19,71
PIURA,2020-04-19,8
SAN MARTIN,2020-04-19,1
TUMBES,2020-04-19,2
UCAYALI,2020-04-19,4
ANCASH,2020-04-20,4
AREQUIPA,2020-04-20,1
CAJAMARCA,2020-04-20,1
CALLAO,2020-04-20,8
HUANCAVELICA,2020-04-20,1
ICA,2020-04-20,1
LA LIBERTAD,2020-04-20,2
LAMBAYEQUE,2020-04-20,11
LIMA,2020-04-20,75
PIURA,2020-04-20,7
PUNO,2020-04-20,1
SAN MARTIN,2020-04-20,1
TUMBES,2020-04-20,1
UCAYALI,2020-04-20,2
ANCASH,2020-04-21,1
CALLAO,2020-04-21,12
ICA,2020-04-21,2
LAMBAYEQUE,2020-04-21,10
LIMA,2020-04-21,72
LORETO,2020-04-21,2
PIURA,2020-04-21,9
SAN MARTIN,2020-04-21,1
TUMBES,2020-04-21,2
UCAYALI,2020-04-21,3
ANCASH,2020-04-22,1
CALLAO,2020-04-22,8
CUSCO,2020-04-22,1
ICA,2020-04-22,5
JUNIN,2020-04-22,1
LA LIBERTAD,2020-04-22,2
LAMBAYEQUE,2020-04-22,16
LIMA,2020-04-22,78
LORETO,2020-04-22,10
PIURA,2020-04-22,4
TUMBES,2020-04-22,3
UCAYALI,2020-04-22,8
ANCASH,2020-04-23,8
AREQUIPA,2020-04-23,1
CALLAO,2020-04-23,12
CUSCO,2020-04-23,1
ICA,2020-04-23,5
JUNIN,2020-04-23,1
LA LIBERTAD,2020-04-23,4
LAMBAYEQUE,2020-04-23,22
LIMA,2020-04-23,56
LORETO,2020-04-23,15
PIURA,2020-04-23,7
TACNA,2020-04-23,1
TUMBES,2020-04-23,1
UCAYALI,2020-04-23,3
ANCASH,2020-04-24,7
CALLAO,2020-04-24,17
ICA,2020-04-24,2
LA LIBERTAD,2020-04-24,1
LAMBAYEQUE,2020-04-24,20
LIMA,2020-04-24,68
LORETO,2020-04-24,13
PIURA,2020-04-24,12
TUMBES,2020-04-24,3
UCAYALI,2020-04-24,4
ANCASH,2020-04-25,4
AREQUIPA,2020-04-25,2
CAJAMARCA,2020-04-25,1
CALLAO,2020-04-25,6
ICA,2020-04-25,5
JUNIN,2020-04-25,1
LAMBAYEQUE,2020-04-25,25
LIMA,2020-04-25,62
LORETO,2020-04-25,17
MADRE DE DIOS,2020-04-25,1
PIURA,2020-04-25,7
TUMBES,2020-04-25,2
UCAYALI,2020-04-25,7
ANCASH,2020-04-26,5
CALLAO,2020-04-26,12
CUSCO,2020-04-26,1
ICA,2020-04-26,3
