Geo Region,Department,Population
Jungle,AMAZONAS,426806
Coast,ANCASH,1180638
Highlands,APURIMAC,430736
Coast,AREQUIPA,1497438
Highlands,AYACUCHO,668213
Highlands,CAJAMARCA,1453711
Coast,CALLAO,1129854
Highlands,CUSCO,1357075
Highlands,HUANCAVELICA,365317
Highlands,HUANUCO,760267
Coast,ICA,975182
Highlands,JUNIN,1361467
Coast,LA LIBERTAD,2016771
Coast,LAMBAYEQUE,1310785
Coast,LIMA,10628470
Highlands,LIMA REGION,944000
Jungle,LORETO,1027559
Jungle,MADRE DE DIOS,173811
Coast,MOQUEGUA,192740
Jungle,PASCO,271904
Coast,PIURA,2047954
Highlands,PUNO,1237997
Highlands,SAN MARTIN,899648
Coast,TACNA,370974
Coast,TUMBES,251521
Jungle,UCAYALI,589110
